TIME,RPM,CLT
37.16,3054,40
37.2,3044,40
37.24,3000,40
37.28,3034,40
37.32,3054,40
37.36,2996,40
37.4,2954,40
37.44,2922,40
37.48,2936,40
37.52,2958,40
37.56,2975,40
37.6,3021,40
37.64,3050,40
37.68,3051,40
37.72,3027,40
37.76,3012,40
37.8,2998,40
37.84,2942,40
37.88,2886,40
37.92,2954,40
37.96,2965,40
38,2987,40
38.04,3028,40
38.08,3026,40
38.12,2993,40
38.16,2963,40
38.2,2989,40
38.24,2987,40
38.28,2945,40
38.32,2957,40
38.36,2897,40
38.4,2946,40
38.44,2986,40
38.48,3024,40
38.52,3062,40
38.56,3057,40
38.6,3012,40
38.64,2988,40
38.68,3003,40
38.72,3001,40
38.76,2992,40
38.8,3002,40
38.84,3017,40
38.88,3018,40
38.92,3034,40
38.96,3024,40
39,3045,40
39.04,3023,40
39.08,3040,40
39.12,3009,40
39.16,3017,40
39.2,2909,40
39.24,2945,40
39.28,2971,40
39.32,2975,40
39.36,2993,40
39.4,3016,40
39.44,3015,40
39.48,2969,40
39.52,2968,40
39.56,2975,40
39.6,2975,40
39.64,2984,41
39.68,2985,41
39.72,2961,40
39.76,2934,41
39.8,2893,41
39.84,2931,41
39.88,2980,41
39.92,2941,41
39.96,2933,41
40,2909,41
40.04,2952,40
40.08,2988,41
40.12,3045,41
40.16,3093,41
40.2,3083,41
40.24,3051,41
40.28,3023,41
40.32,3016,41
40.36,3026,41
40.4,3029,41
40.44,3011,41
40.48,2984,41
40.52,2925,41
40.56,2882,41
40.6,2914,41
40.64,2957,41
40.68,2985,41
40.72,3006,41
40.76,3033,41
40.8,3029,41
40.84,3036,41
40.88,3033,41
40.92,3031,41
40.96,3061,41
41,3037,41
41.04,3039,41
41.08,3031,41
41.12,2975,41
41.16,2939,41
41.2,2980,41
41.24,2986,41
41.28,3007,41
41.32,3038,41
41.36,3043,41
41.4,3043,41
41.44,3018,41
41.48,3001,41
41.52,2935,41
41.56,2906,41
41.6,2924,41
41.64,2950,41
41.68,2999,41
41.72,3044,41
41.76,3074,41
41.8,3107,41
41.84,3088,41
41.88,3083,41
41.92,2997,41
41.96,3013,41
42,2997,41
42.04,2961,41
42.08,2975,41
42.12,3020,41
42.16,3045,41
42.2,3060,41
42.24,3069,41
42.28,3066,41
42.32,2995,41
42.36,3010,41
42.4,3009,41
42.44,3035,41
42.48,3046,41
42.52,3034,41
42.56,3036,41
42.6,3024,41
42.64,2997,41
42.68,2962,41
42.72,2980,41
42.76,2965,41
42.8,2968,41
42.84,2988,41
42.88,3023,41
42.92,3028,41
42.96,3048,41
43,3069,41
43.04,3059,41
43.08,3020,41
43.12,3044,41
43.16,3070,41
43.2,3045,41
